id_digsilent,node_id_osm,confirmación,
Chacaya 220,30641628,,
Encuentro 220,111486348,,
Crucero 220,111486352,,
Gas Atacama 220,120860874,,duda
Escondida Domeyko 220,121431104,,
Escondida 220,121445146,121445146,duda
Nueva Zaldivar 220 kV,121454918,,
Angamos 220,169337349,,
Collahuasi 220,182692483,,
Tocopilla220,321478891,,
Algorta 33,,,
Alto Norte 13.8 #1,,,
Alto Norte 13.8 #2,,,
Antofagasta 13.8,,,
Calama 23,,,
Cerro Colorado 0.4kV,,,
Cerro Colorado 12kV,,,
Chuquicamata GIS 13.8 kV,,,
Chuquicamata SSAA CTS 13.8,,,
Collahuasi 23,,,
Double Busbar,,,
El Cobre,,,
Escondida 69,,,
Escondida B1 13.8,,,
Escondida B2 13.8,,,
Escondida Laguna Seca 13.8,,,
Escondida Laguna Seca 69,,,
Escondida Oxidos 13.8,,,
Fortuna 220,,,
Fortuna 23,,,
Gaby 23,,,
Laberinto 220 kV,,,
Lixiviación 69,,,
Muelle,,,
Parinacota Pukará 13.8,,,
Pozo Almonte 110,,,
S/E Solar 2,,,
Single Busbar,,,
Single Busbar with Tie,,,
Single Busbar with Tie(1),,,
Single Busbar with Tie(2),,,
Single Busbar with Tie(5),,,
Single Busbar(1),,,
Single Busbar(10),,,
Single Busbar(11),,,
Single Busbar(12),,,
Single Busbar(13),,,
Single Busbar(2),,,
Single Busbar(3),,,
Single Busbar(4),,,
Single Busbar(5),,,
Single Busbar(6),,,
Single Busbar(7),,,
Single Busbar(8),,,
Single Busbar(9),,,
Sulfuros 69,,,
Tarapacá 6.6,,,
Valle de los Vientos 110 kV,,,
Valle de los Vientos 23kV,,,
Zaldívar 23,,,
