All calculations,Synchronous Machine
"Time in s","Terminal Voltage in p.u."
-0.091000,1.000030
-0.073000,1.000030
-0.055000,1.000032
-0.037000,1.000037
-0.019000,1.000043
-0.001000,1.000051
0.017000,1.000061
0.035000,1.000072
0.053000,1.000085
0.071000,1.000098
0.089000,1.000112
0.107000,1.000127
0.125000,1.000142
0.143000,1.000158
0.161000,1.000173
0.179000,1.000188
0.197000,1.000203
0.215000,1.000216
0.233000,1.000229
0.251000,1.000241
0.269000,1.000252
0.287000,1.000261
0.305000,1.000269
0.323000,1.000275
0.341000,1.000280
0.359000,1.000282
0.377000,1.000283
0.395000,1.000282
0.413000,1.000279
0.431000,1.000274
0.449000,1.000267
0.467000,1.000258
0.485000,1.000247
0.503000,1.000235
0.521000,1.000221
0.539000,1.000205
0.557000,1.000188
0.575000,1.000170
0.593000,1.000151
0.611000,1.000131
0.629000,1.000110
0.647000,1.000089
0.665000,1.000068
0.683000,1.000046
0.701000,1.000025
0.719000,1.000005
0.737000,0.999985
0.755000,0.999966
0.773000,0.999948
0.791000,0.999931
0.809000,0.999916
0.827000,0.999903
0.845000,0.999892
0.863000,0.999882
0.881000,0.999875
0.899000,0.999869
0.917000,0.999867
0.935000,0.999866
0.953000,0.999868
0.971000,0.999872
0.989000,0.999879
1.007000,1.000568
1.025000,1.004714
1.043000,1.009761
1.061000,1.015044
1.079000,1.020318
1.097000,1.025469
1.115000,1.030452
1.133000,1.035255
1.151000,1.039884
1.169000,1.044352
1.187000,1.048672
1.205000,1.052858
1.223000,1.056919
1.241000,1.060862
1.259000,1.064689
1.277000,1.068399
1.295000,1.071989
1.313000,1.075451
1.331000,1.078776
1.349000,1.081954
1.367000,1.084972
1.385000,1.087818
1.403000,1.090481
1.421000,1.092950
1.439000,1.095214
1.457000,1.097267
1.475000,1.099102
1.493000,1.100716
1.511000,1.102108
1.529000,1.103279
1.547000,1.104233
1.565000,1.104974
1.583000,1.105511
1.601000,1.105851
1.619000,1.106004
1.637000,1.105980
1.655000,1.105789
1.673000,1.105441
1.691000,1.104948
1.709000,1.104320
1.727000,1.103567
1.745000,1.102700
1.763000,1.101730
1.781000,1.100669
1.799000,1.099528
1.817000,1.098322
1.835000,1.097064
1.853000,1.095769
1.871000,1.094454
1.889000,1.093135
1.907000,1.091832
1.925000,1.090562
1.943000,1.089346
1.961000,1.088204
1.979000,1.087156
1.997000,1.086221
2.015000,1.085418
2.033000,1.084764
2.051000,1.084274
2.069000,1.083962
2.087000,1.083836
2.105000,1.083905
2.123000,1.084171
2.141000,1.084634
2.159000,1.085290
2.177000,1.086132
2.195000,1.087148
2.213000,1.088322
2.231000,1.089636
2.249000,1.091068
2.267000,1.092595
2.285000,1.094191
2.303000,1.095829
2.321000,1.097480
2.339000,1.099122
2.357000,1.100729
2.375000,1.102277
2.393000,1.103746
2.411000,1.105114
2.429000,1.106365
2.447000,1.107483
2.465000,1.108456
2.483000,1.109276
2.501000,1.109935
2.519000,1.110431
2.537000,1.110763
2.555000,1.110932
2.573000,1.110942
2.591000,1.110798
2.609000,1.110506
2.627000,1.110074
2.645000,1.109509
2.663000,1.108818
2.681000,1.108011
2.699000,1.107094
2.717000,1.106078
2.735000,1.104971
2.753000,1.103783
2.771000,1.102525
2.789000,1.101207
2.807000,1.099843
2.825000,1.098445
2.843000,1.097027
2.861000,1.095607
2.879000,1.094200
2.897000,1.092824
2.915000,1.091498
2.933000,1.090241
2.951000,1.089072
2.969000,1.088011
2.987000,1.087076
3.005000,1.086284
3.023000,1.085651
3.041000,1.085192
3.059000,1.084916
3.077000,1.084832
3.095000,1.084946
3.113000,1.085259
3.131000,1.085768
3.149000,1.086468
3.167000,1.087349
3.185000,1.088398
3.203000,1.089598
3.221000,1.090928
3.239000,1.092367
3.257000,1.093890
3.275000,1.095470
3.293000,1.097079
3.311000,1.098693
3.329000,1.100285
3.347000,1.101833
3.365000,1.103314
3.383000,1.104707
3.401000,1.105994
3.419000,1.107157
3.437000,1.108184
3.455000,1.109064
3.473000,1.109790
3.491000,1.110355
3.509000,1.110759
3.527000,1.111002
3.545000,1.111085
3.563000,1.111014
3.581000,1.110794
3.599000,1.110431
3.617000,1.109932
3.635000,1.109305
3.653000,1.108559
3.671000,1.107701
3.689000,1.106740
3.707000,1.105684
3.725000,1.104543
3.743000,1.103327
3.761000,1.102047
3.779000,1.100714
3.797000,1.099341
3.815000,1.097942
3.833000,1.096533
3.851000,1.095128
3.869000,1.093745
3.887000,1.092402
3.905000,1.091118
3.923000,1.089912
3.941000,1.088803
3.959000,1.087810
3.977000,1.086950
3.995000,1.086239
4.013000,1.085693
4.031000,1.085324
4.049000,1.085141
4.067000,1.085151
4.085000,1.085358
4.103000,1.085760
4.121000,1.086354
4.139000,1.087132
4.157000,1.088083
4.175000,1.089192
4.193000,1.090441
4.211000,1.091809
4.229000,1.093271
4.247000,1.094804
4.265000,1.096381
4.283000,1.097973
4.301000,1.099557
4.319000,1.101109
4.337000,1.102607
4.355000,1.104027
4.373000,1.105352
4.391000,1.106563
4.409000,1.107647
4.427000,1.108590
4.445000,1.109383
4.463000,1.110022
4.481000,1.110501
4.499000,1.110821
4.517000,1.110982
4.535000,1.110987
4.553000,1.110842
4.571000,1.110553
4.589000,1.110126
4.607000,1.109568
4.625000,1.108887
4.643000,1.108092
4.661000,1.107190
4.679000,1.106190
4.697000,1.105101
4.715000,1.103933
4.733000,1.102696
4.751000,1.101401
4.769000,1.100060
4.787000,1.098687
4.805000,1.097295
4.823000,1.095900
4.841000,1.094519
4.859000,1.093169
4.877000,1.091869
4.895000,1.090636
4.913000,1.089489
4.931000,1.088449
4.949000,1.087531
4.967000,1.086754
4.985000,1.086133
5.003000,1.085680
5.021000,1.085407
5.039000,1.085322
5.057000,1.085430
5.075000,1.085731
5.093000,1.086225
5.111000,1.086904
5.129000,1.087760
5.147000,1.088779
5.165000,1.089946
5.183000,1.091240
5.201000,1.092641
5.219000,1.094123
5.237000,1.095661
5.255000,1.097227
5.273000,1.098798
5.291000,1.100349
5.309000,1.101856
5.327000,1.103299
5.345000,1.104657
5.363000,1.105910
5.381000,1.107045
5.399000,1.108046
5.417000,1.108905
5.435000,1.109613
5.453000,1.110165
5.471000,1.110560
5.489000,1.110797
5.507000,1.110878
5.525000,1.110809
5.543000,1.110593
5.561000,1.110237
5.579000,1.109749
5.597000,1.109135
5.615000,1.108403
5.633000,1.107562
5.651000,1.106619
5.669000,1.105583
5.687000,1.104465
5.705000,1.103273
5.723000,1.102018
5.741000,1.100712
5.759000,1.099367
5.777000,1.097998
5.795000,1.096618
5.813000,1.095244
5.831000,1.093892
5.849000,1.092580
5.867000,1.091327
5.885000,1.090150
5.903000,1.089069
5.921000,1.088101
5.939000,1.087265
5.957000,1.086574
5.975000,1.086045
5.993000,1.085688
6.011000,1.085514
6.029000,1.085527
6.047000,1.085732
6.065000,1.086128
6.083000,1.086710
6.101000,1.087472
6.119000,1.088402
6.137000,1.089485
6.155000,1.090704
6.173000,1.092038
6.191000,1.093464
6.209000,1.094959
6.227000,1.096495
6.245000,1.098047
6.263000,1.099590
6.281000,1.101102
6.299000,1.102561
6.317000,1.103945
6.335000,1.105236
6.353000,1.106416
6.371000,1.107472
6.389000,1.108391
6.407000,1.109165
6.425000,1.109787
6.443000,1.110254
6.461000,1.110566
6.479000,1.110722
6.497000,1.110727
6.515000,1.110584
6.533000,1.110300
6.551000,1.109881
6.569000,1.109333
6.587000,1.108666
6.605000,1.107886
6.623000,1.107001
6.641000,1.106020
6.659000,1.104952
6.677000,1.103806
6.695000,1.102594
6.713000,1.101324
6.731000,1.100011
6.749000,1.098667
6.767000,1.097305
6.785000,1.095942
6.803000,1.094592
6.821000,1.093274
6.839000,1.092006
6.857000,1.090804
6.875000,1.089688
6.893000,1.088676
6.911000,1.087786
6.929000,1.087033
6.947000,1.086432
6.965000,1.085997
6.983000,1.085737
7.001000,1.085661
7.019000,1.085772
7.037000,1.086072
7.055000,1.086560
7.073000,1.087228
7.091000,1.088067
7.109000,1.089065
7.127000,1.090206
7.145000,1.091471
7.163000,1.092838
7.181000,1.094284
7.199000,1.095784
7.217000,1.097312
7.235000,1.098842
7.253000,1.100353
7.271000,1.101822
7.289000,1.103228
7.307000,1.104550
7.325000,1.105771
7.343000,1.106876
7.361000,1.107851
7.379000,1.108688
7.397000,1.109377
7.415000,1.109915
7.433000,1.110298
7.451000,1.110528
7.469000,1.110607
7.487000,1.110537
7.505000,1.110324
7.523000,1.109974
7.541000,1.109494
7.559000,1.108891
7.577000,1.108173
7.595000,1.107347
7.613000,1.106421
7.631000,1.105405
7.649000,1.104307
7.667000,1.103138
7.685000,1.101908
7.703000,1.100628
